"Main","WeekDay","SumOfTotalVolume"
" MEADOWVALE RD ","Thursday",16942
" MEADOWVALE RD ","Tuesday",12258
" MEADOWVALE RD ","Wednesday",19236
" MIDDLEFIELD RD ","Thursday",17346
" MIDDLEFIELD RD ","Wednesday",57842
" MIDLAND AVE ","Monday",69171
" MIDLAND AVE ","Saturday",68873
" MIDLAND AVE ","Thursday",50783
" MIDLAND AVE ","Tuesday",124477
" MIDLAND AVE ","Wednesday",255571
" MILITARY TRL ","Wednesday",18730
" MILLWICK DR ","Tuesday",26974
" MILLWOOD RD ","Saturday",23982
" MILLWOOD RD ","Thursday",70541
" MILLWOOD RD ","Tuesday",11574
" MILNER AVE ","Monday",12252
" MILNER AVE ","Thursday",8713
" MILNER AVE ","Tuesday",40243
" MILNER AVE ","Wednesday",15138
" MORNINGSIDE AVE ","Monday",120068
" MORNINGSIDE AVE ","Saturday",56214
" MORNINGSIDE AVE ","Tuesday",16626
" MORNINGSIDE AVE ","Wednesday",281268
" MORTIMER AVE ","Monday",11926
" MORTIMER AVE ","Saturday",17880
" MORTIMER AVE ","Tuesday",7824
" MORTIMER AVE ","Wednesday",25063
" MOUNT PLEASANT RD ","Friday",22537
" MOUNT PLEASANT RD ","Monday",206036
" MOUNT PLEASANT RD ","Saturday",31177
" MOUNT PLEASANT RD ","Thursday",139726
" MOUNT PLEASANT RD ","Tuesday",219777
" MOUNT PLEASANT RD ","Wednesday",100283
" MURRAY ROSS PKWY ","Monday",6538
" NEILSON RD ","Monday",15337
" NEILSON RD ","Saturday",51458
" NEILSON RD ","Thursday",152186
" NEILSON RD ","Tuesday",24224
" NEILSON RD ","Wednesday",60309
" NORTH QUEEN ST ","Monday",22698
" NORTH QUEEN ST ","Thursday",22770
" NORTH QUEEN ST ","Tuesday",20344
" O CONNOR DR ","Monday",152317
" O CONNOR DR ","Saturday",127221
" O CONNOR DR ","Thursday",36815
" O CONNOR DR ","Tuesday",146735
" O CONNOR DR ","Wednesday",135575
" OAK ST ","Wednesday",22054
" OAKDALE RD ","Tuesday",15574
" OAKWOOD AVE ","Thursday",13287
" OAKWOOD AVE ","Tuesday",29514
" OAKWOOD AVE ","Wednesday",34049
" OLD FINCH AVE ","Thursday",2162
" OLD KINGSTON RD ","Monday",10034
" OLD KINGSTON RD ","Wednesday",12310
" OLD WESTON RD ","Thursday",37246
" OLD WESTON RD ","Tuesday",15836
" ORIOLE PKWY ","Monday",30542
" ORIOLE PKWY ","Wednesday",77136
" ORTON PARK RD ","Thursday",7230
" OSSINGTON AVE ","Thursday",57578
" OSSINGTON AVE ","Tuesday",25806
" OVERLEA BLVD ","Friday",21218
" OVERLEA BLVD ","Thursday",53492
" OVERLEA BLVD ","Wednesday",53069
" PAPE AVE ","Monday",10965
" PAPE AVE ","Saturday",20667
" PAPE AVE ","Thursday",26384
" PARK HOME AVE ","Monday",48124
" PARK LAWN RD ","Thursday",80604
" PARK LAWN RD ","Tuesday",28200
" PARKSIDE DR ","Monday",28152
" PARKSIDE DR ","Saturday",13415
" PARKSIDE DR ","Wednesday",74988
" PARKWOODS VILLAGE DR ","Tuesday",46430
" PARLIAMENT ST ","Saturday",50715
" PARLIAMENT ST ","Thursday",37084
" PARLIAMENT ST ","Tuesday",56980
" PARLIAMENT ST ","Wednesday",64570
" PASSMORE AVE ","Saturday",16404
" PHARMACY AVE ","Monday",143705
" PHARMACY AVE ","Saturday",42245
" PHARMACY AVE ","Thursday",151345
" PHARMACY AVE ","Tuesday",172187
" PHARMACY AVE ","Wednesday",106166
" PORT UNION RD ","Monday",28550
" PORT UNION RD ","Thursday",32522
" PORT UNION RD ","Tuesday",12224
" PORT UNION RD ","Wednesday",12310
" POYNTZ AVE ","Tuesday",13028
" PRINCES BLVD ","Tuesday",3036
" PROGRESS AVE ","Monday",99403
" PROGRESS AVE ","Thursday",52086
" PROGRESS AVE ","Tuesday",67302
" PROGRESS AVE ","Wednesday",41415
" QUEEN ST E ","Monday",93342
" QUEEN ST E ","Saturday",129110
" QUEEN ST E ","Thursday",118344
" QUEEN ST E ","Tuesday",190360
" QUEEN ST E ","Wednesday",107102
" QUEEN ST W ","Monday",21984
" QUEEN ST W ","Saturday",42188
" QUEEN ST W ","Thursday",134860
" QUEEN ST W ","Tuesday",131683
" QUEEN ST W ","Wednesday",239074
" QUEENS PARK ","Thursday",22654
" QUEENS PARK ","Tuesday",20004
" QUEENS PARK CRES E ","Thursday",20898
" QUEENS PARK CRES E ","Tuesday",27288
" QUEENS PARK CRES E ","Wednesday",75427
" QUEENS PARK CRES W ","Tuesday",34958
" QUEENS PLATE DR ","Thursday",12814
" QUEENS QUAY E ","Monday",23057
" QUEENS QUAY E ","Wednesday",6859
" QUEENS QUAY W ","Thursday",41190
" QUEENS QUAY W ","Tuesday",36312
" QUEENS QUAY W ","Wednesday",97409
" RANEE AVE ","Monday",5002
" RANEE AVE ","Wednesday",5900
" RATHBURN RD ","Monday",29067
" RATHBURN RD ","Wednesday",24658
" RENFORTH DR ","Monday",24049
" RENFORTH DR ","Thursday",122830
" RENFORTH DR ","Tuesday",10695
" RENFORTH DR ","Wednesday",36996
" REXDALE BLVD ","Friday",67398
" REXDALE BLVD ","Saturday",43652
" REXDALE BLVD ","Thursday",184178
" REXDALE BLVD ","Wednesday",40524
" RICHMOND ST E ","Monday",32774
" RICHMOND ST E ","Tuesday",51090
" RICHMOND ST W ","Monday",28295
" RICHMOND ST W ","Tuesday",80606
" RICHMOND ST W ","Wednesday",28496
" RIVER ST ","Monday",14988
" ROGERS RD ","Monday",39910
" ROGERS RD ","Saturday",39668
" ROGERS RD ","Thursday",27726
" ROGERS RD ","Tuesday",35958
" ROGERS RD ","Wednesday",39284
" RONCESVALLES AVE ","Monday",21508
" RONCESVALLES AVE ","Thursday",16108
" ROYAL YORK RD ","Monday",23034
" ROYAL YORK RD ","Thursday",198900
" ROYAL YORK RD ","Tuesday",64358
" RUNNYMEDE RD ","Thursday",15826
" SANDHURST CRCL ","Tuesday",8506
" SCARBOROUGH GOLF CLUB RD ","Thursday",10810
" SCARBOROUGH GOLF CLUB RD ","Tuesday",12408
" SCARBOROUGH GOLF CLUB RD ","Wednesday",35506
" SCARLET RD ","Tuesday",8476
" SCARLETT RD ","Saturday",11072
" SCARLETT RD ","Thursday",23975
" SCARLETT RD ","Tuesday",67168
" SCARLETT RD ","Wednesday",9891
" SENTINEL RD ","Thursday",15328
" SENTINEL RD ","Wednesday",17922
" SEWELLS RD ","Wednesday",11814
" SHAW ST ","Thursday",7110
" SHEPPARD AVE E ","Monday",136618
" SHEPPARD AVE E ","Saturday",538496
" SHEPPARD AVE E ","Thursday",379174
" SHEPPARD AVE E ","Tuesday",355429
" SHEPPARD AVE E ","Wednesday",610531
" SHEPPARD AVE W ","Monday",70322
" SHEPPARD AVE W ","Saturday",68866
" SHEPPARD AVE W ","Thursday",158657
" SHEPPARD AVE W ","Tuesday",216296
" SHEPPARD AVE W ","Wednesday",290902
" SHERBOURNE ST ","Saturday",27909
" SHERBOURNE ST ","Thursday",34588
" SHERBOURNE ST ","Tuesday",78345
" SHERBOURNE ST ","Wednesday",139899
" SHERWAY GARDENS RD ","Tuesday",19426
" SHOREHAM DR ","Tuesday",9893
" SHOREHAM DR ","Wednesday",11599
" SHUTER ST ","Tuesday",31242
" SIGNET DR ","Thursday",19864
" SIGNET DR ","Tuesday",13358
" SIGNET DR ","Wednesday",12412
" SIMCOE ST ","Monday",27054
" SIMCOE ST ","Thursday",46711
" SOUTH KINGSWAY ","Tuesday",21100
" SOUTHVALE DR ","Saturday",8991
" SOUTHVALE DR ","Thursday",10506
" SPADINA AVE ","Friday",12902
" SPADINA AVE ","Monday",83067
" SPADINA AVE ","Saturday",240473
" SPADINA AVE ","Thursday",147946
" SPADINA AVE ","Tuesday",107312
" SPADINA AVE ","Wednesday",119050
" SPADINA CRES ","Thursday",20859
" SPADINA RD ","Thursday",81200
" SPADINA RD ","Tuesday",48554
" ST CLAIR AVE E ","Monday",19534
" ST CLAIR AVE E ","Saturday",137132
" ST CLAIR AVE E ","Thursday",157759
" ST CLAIR AVE E ","Tuesday",33250
" ST CLAIR AVE E ","Wednesday",104245
" ST CLAIR AVE W ","Monday",244424
" ST CLAIR AVE W ","Saturday",60692
" ST CLAIR AVE W ","Thursday",402829
" ST CLAIR AVE W ","Tuesday",47245
" ST CLAIR AVE W ","Wednesday",164866
" ST DENNIS DR ","Tuesday",13806
" ST GEORGE ST ","Monday",28557
" ST GEORGE ST ","Tuesday",11789
" ST GEORGE ST ","Wednesday",63188
" STEELES AVE E ","Monday",482894
" STEELES AVE E ","Saturday",347362
" STEELES AVE E ","Thursday",290029
" STEELES AVE E ","Tuesday",294370
" STEELES AVE E ","Wednesday",451482
" STEELES AVE W ","Friday",162858
" STEELES AVE W ","Monday",313100
" STEELES AVE W ","Saturday",314892
" STEELES AVE W ","Thursday",74606
" STEELES AVE W ","Tuesday",197782
" STEELES AVE W ","Wednesday",811794
" STRACHAN AVE ","Monday",10892
" STRACHAN AVE ","Thursday",12996
" STRACHAN AVE ","Wednesday",24919
" TALBOT RD ","Tuesday",9996
" TANGIERS RD ","Thursday",6078
" TAPSCOTT RD ","Monday",13654
" TAPSCOTT RD ","Thursday",6875
" TAPSCOTT RD ","Tuesday",17792
" TAPSCOTT RD ","Wednesday",23553
" THE DONWAY W ","Tuesday",15128
" THE EAST MALL ","Monday",18380
" THE EAST MALL ","Tuesday",108236
" THE EAST MALL ","Wednesday",14998
" THE POND RD ","Monday",3941
" THE POND RD ","Thursday",19306
" THE POND RD ","Wednesday",41568
" THE QUEENSWAY ","Monday",198057
" THE QUEENSWAY ","Saturday",22354
" THE QUEENSWAY ","Thursday",222793
" THE QUEENSWAY ","Tuesday",290968
" THE QUEENSWAY ","Wednesday",361345
" THE WEST MALL ","Monday",30240
" THE WEST MALL ","Saturday",16493
" THE WEST MALL ","Thursday",29300
" THE WEST MALL ","Tuesday",45997
" THE WEST MALL ","Wednesday",17007
" THE WESTWAY ","Thursday",15938
" THE WESTWAY ","Tuesday",25720
" THE WESTWAY ","Wednesday",16428
" TORO RD ","Wednesday",9364
" TRETHEWEY DR ","Monday",32164
" TRETHEWEY DR ","Thursday",17266
" TRETHEWEY DR ","Tuesday",33200
" UNIVERSITY AVE ","Monday",150532
" UNIVERSITY AVE ","Saturday",213521
" UNIVERSITY AVE ","Thursday",281998
" UNIVERSITY AVE ","Tuesday",107939
" UNIVERSITY AVE ","Wednesday",34734
" VAUGHAN RD ","Tuesday",12322
" VAUGHAN RD ","Wednesday",13672
" VICTORIA PARK AVE ","Monday",219314
" VICTORIA PARK AVE ","Saturday",72155
" VICTORIA PARK AVE ","Thursday",229141
" VICTORIA PARK AVE ","Tuesday",320367
" VICTORIA PARK AVE ","Wednesday",376270
" VICTORIA ST ","Thursday",22356
" VICTORIA ST ","Tuesday",19739
" WARDEN AVE ","Monday",231758
" WARDEN AVE ","Saturday",97592
" WARDEN AVE ","Thursday",13756
" WARDEN AVE ","Tuesday",519154
" WARDEN AVE ","Wednesday",271592
" WELLESLEY ST E ","Tuesday",17994
" WELLESLEY ST E ","Wednesday",21254
" WELLINGTON ST W ","Monday",26382
" WELLINGTON ST W ","Thursday",47312
" WESTON RD ","Friday",13449
" WESTON RD ","Monday",275920
" WESTON RD ","Thursday",429135
" WESTON RD ","Tuesday",180214
" WESTON RD ","Wednesday",263903
" WICKSTEED AVE ","Tuesday",18550
" WILLIAM KITCHEN RD ","Monday",14634
" WILLIAM R ALLEN RD ","Thursday",54108
" WILLIAM R ALLEN RD ","Tuesday",119774
" WILLIAM R ALLEN RD ","Wednesday",258060
" WILLOWDALE AVE ","Monday",54110
" WILLOWDALE AVE ","Thursday",20311
" WILLOWDALE AVE ","Wednesday",25062
" WILMINGTON AVE ","Tuesday",19416
" WILSON AVE ","Monday",129012
" WILSON AVE ","Saturday",188616
" WILSON AVE ","Thursday",303430
" WILSON AVE ","Tuesday",224484
" WILSON AVE ","Wednesday",17391
" WILSON HEIGHTS BLVD ","Thursday",50348
" WINDERMERE AVE ","Thursday",14244
" WOODBINE AVE ","Saturday",30748
