id,user,created_at,text,clean_text
1004412354937774081,McCarron,2018-06-06 17:19:01,"Why this #WWDC SiriKit presenter writing a ""soup out of stock error message"" didn't go with ""No Soup For You"" is a huge missed opportunity.",Why this WWDC SiriKit presenter writing a soup out of stock error message didn't go with No Soup For You is a huge missed opportunity
1004411788908220417,YATATOY,2018-06-06 17:16:46,"We are still jumping around and can’t settle :) Thank you again so much @AppStore for your support and this incredible Award!!!

https://t.co/QSoCQHfAiI  

#WWDC2018 #WWDC https://t.co/JfULCRf8n7",We are still jumping around and cant settle  Thank you again so much AppStore for your support and this incredible Award       WWDC2018 WWDC  
1004411769584939008,McCarron,2018-06-06 17:16:41,Appears I am seeing Panic! At The Disco at #wwdc… https://t.co/Ihi6XT5liN,Appears I am seeing Panic At The Disco at wwdc  
1004411594896441345,philipmcdermott,2018-06-06 17:15:59,Oh god is it Eddy Cue? #wwdc https://t.co/UUYxlvQ5Rs,Oh god is it Eddy Cue wwdc  
1004411525820395520,russnettle,2018-06-06 17:15:43,"Hats off to the Siri team, the Siri shortcuts look really well implemented. Rather than having to fit into a limited category, any app can now provide I Siri responses with really quick to use auto generated intent subclasses 🤙#wwdc #iOS dev #ios12",Hats off to the Siri team the Siri shortcuts look really well implemented Rather than having to fit into a limited category any app can now provide I Siri responses with really quick to use auto generated intent subclasses wwdc iOS dev ios12
1004410984251973632,patterson_home,2018-06-06 17:13:34,"Attending #altconf or #wwdc? Don't miss the @AltConference lab ""Build a virtual assistant into your iOS apps"" starting at 10. In lab room 2",Attending altconf or wwdc Don't miss the AltConference lab Build a virtual assistant into your iOS apps starting at 10 In lab room 2
1004410928958279680,horiuni,2018-06-06 17:13:21,Panic! At The Disco is playing at the #WWDC Bash! 😍 https://t.co/Ui6g135T38,Panic At The Disco is playing at the WWDC Bash   
1004409186522812416,CBCompton1,2018-06-06 17:06:25,"The new #Kitura macOS App makes getting started with serverside #Swift quick and easy. Nice work @alex_wishart!  💯

#WWDC18 #WWDC #WWDC2018 #SwiftLang https://t.co/zbtr3lePH1",The new Kitura macOS App makes getting started with serverside Swift quick and easy Nice work alexwishart    WWDC18 WWDC WWDC2018 SwiftLang  
1004408345980297216,AppDemoVideos,2018-06-06 17:03:05,"Apple's iOS App Store Will Top $100B Paid Out to Developers This Week, Ahead of 10th Anniversary in July: https://t.co/bkIgI0y6BQ #wwdc #appdev",Apple's iOS App Store Will Top 100B Paid Out to Developers This Week Ahead of 10th Anniversary in July   wwdc appdev
1004407755179003904,carlowahlstedt,2018-06-06 17:00:44,One of the best things I've seen come out of a conference this year. https://t.co/XqV2ZPyVdZ #wwdc,One of the best things I've seen come out of a conference this year   wwdc
1004407547451904000,virakri,2018-06-06 16:59:54,"Here is some random ideas of using #EyesTracking in #ARKit2 telling where on screens users are looking at... And here is the prototype. 

#ARKit #iOS12 #iOS #Swift #WWDC #WWDC18 #Apple #ARCore #AugmentedReality #iPhoneX #WeAreProlific https://t.co/IWxYvfDLo3",Here is some random ideas of using EyesTracking in ARKit2 telling where on screens users are looking at And here is the prototype   ARKit iOS12 iOS Swift WWDC WWDC18 Apple ARCore AugmentedReality iPhoneX WeAreProlific  
1004407536664002561,_ivancr,2018-06-06 16:59:52,#WWDC week is intense. How intense? I thought it was Thursday and tomorrow I going home intense.,WWDC week is intense How intense I thought it was Thursday and tomorrow I going home intense
1004407069791797248,thillsman,2018-06-06 16:58:01,About to see @gravicle talk about the new Siri Shortcuts awesomeness. #wwdc,About to see gravicle talk about the new Siri Shortcuts awesomeness wwdc
1004406506517815298,2020Glen,2018-06-06 16:55:46,When the spotlight is gone only the your dark theme remains. #wwdc https://t.co/IT51yT8RbJ,When the spotlight is gone only the your dark theme remains wwdc  
